LOS,Freq
2385,19
2386,12
2387,18
2388,22
2389,20
2390,13
2391,22
2392,23
2393,14
2394,32
2395,13
2396,27
2397,22
2398,28
2399,10
2400,12
2401,18
2402,18
2403,22
2404,22
2405,16
2406,18
2407,25
2408,27
2409,17
2410,13
2411,15
2412,21
2413,21
2414,25
2415,23
2416,20
2417,27
2418,19
2419,18
2420,18
2421,20
2422,14
2423,18
2424,15
2425,28
2426,19
2427,17
2428,21
2429,21
2430,17
2431,9
2432,20
2433,16
2434,21
2435,19
2436,20
2437,13
2438,28
2439,16
2440,17
2441,17
2442,25
2443,20
2444,27
2445,21
2446,21
2447,13
2448,22
2449,20
2450,18
2451,13
2452,20
2453,22
2454,21
2455,18
2456,12
2457,14
2458,21
2459,10
2460,15
2461,21
2462,16
2463,23
2464,12
2465,25
2466,16
2467,15
2468,20
2469,24
2470,25
2471,22
2472,18
2473,14
2474,17
2475,17
2476,11
2477,15
2478,18
2479,16
2480,22
2481,19
2482,16
2483,19
2484,18
2485,10
2486,17
2487,15
2488,21
2489,13
2490,16
2491,24
2492,16
2493,18
2494,9
2495,10
2496,20
2497,14
2498,13
2499,11
2500,18
2501,19
2502,17
2503,11
2504,12
2505,16
2506,13
2507,17
2508,22
2509,18
2510,20
2511,17
2512,14
2513,18
2514,11
2515,20
2516,16
2517,20
2518,14
2519,17
2520,14
2521,14
2522,21
2523,16
2524,23
2525,16
2526,12
2527,9
2528,21
2529,17
2530,17
2531,20
2532,17
2533,13
2534,24
2535,10
2536,24
2537,11
2538,18
2539,10
2540,13
2541,22
2542,18
2543,17
2544,10
2545,15
2546,14
2547,11
2548,25
2549,20
2550,13
2551,15
2552,14
2553,16
2554,15
2555,13
2556,20
2557,10
2558,27
2559,13
2560,19
2561,18
2562,8
2563,19
2564,18
2565,16
2566,12
2567,19
2568,10
2569,10
2570,10
2571,14
2572,9
2573,20
2574,15
2575,8
2576,16
2577,21
2578,18
2579,17
2580,14
2581,12
2582,12
2583,10
2584,11
2585,13
2586,12
2587,12
2588,21
2589,14
2590,14
2591,11
2592,15
2593,20
2594,9
2595,20
2596,13
2597,13
2598,11
2599,12
2600,19
2601,11
2602,19
2603,14
2604,8
2605,15
2606,13
2607,17
2608,14
2609,20
2610,7
2611,23
2612,16
2613,13
2614,18
2615,13
2616,7
2617,13
2618,17
2619,8
2620,16
2621,17
2622,14
2623,13
2624,13
2625,19
2626,16
2627,11
2628,14
2629,16
2630,8
2631,17
2632,23
2633,15
2634,8
2635,14
2636,13
2637,16
2638,11
2639,11
2640,14
2641,14
2642,14
2643,5
2644,18
2645,14
2646,13
2647,13
2648,14
2649,8
2650,18
2651,14
2652,11
2653,16
2654,15
2655,13
2656,17
2657,17
2658,18
2659,11
2660,17
2661,12
2662,13
2663,15
2664,18
2665,16
2666,21
2667,11
2668,13
2669,7
2670,14
2671,12
2672,9
2673,10
2674,15
2675,12
2676,18
2677,19
2678,15
2679,7
2680,22
2681,14
2682,6
2683,7
2684,20
2685,8
2686,14
2687,8
2688,9
2689,7
2690,9
2691,10
2692,10
2693,14
2694,12
2695,12
2696,11
2697,24
2698,17
2699,13
2700,16
2701,15
2702,14
2703,10
2704,12
2705,11
2706,9
2707,9
2708,13
2709,14
2710,16
2711,16
2712,11
2713,19
2714,14
2715,12
2716,19
2717,12
2718,16
2719,18
2720,19
2721,14
2722,13
2723,14
2724,18
2725,12
2726,16
2727,14
2728,12
2729,11
2730,16
2731,15
2732,13
2733,11
2734,14
2735,15
2736,11
2737,14
2738,9
2739,12
2740,17
2741,9
2742,13
2743,7
2744,12
2745,15
2746,12
2747,12
2748,8
2749,13
2750,9
2751,17
2752,11
2753,9
2754,12
2755,10
2756,8
2757,9
2758,9
2759,6
2760,10
2761,15
2762,13
2763,8
2764,13
2765,6
2766,13
2767,11
2768,15
2769,5
2770,12
2771,8
2772,12
2773,13
2774,13
2775,13
2776,11
2777,8
2778,17
2779,8
2780,16
2781,11
2782,9
2783,14
2784,12
2785,8
2786,20
2787,10
2788,7
2789,14
2790,9
2791,14
2792,11
2793,15
2794,13
2795,14
2796,12
2797,9
2798,12
2799,11
2800,8
2801,17
2802,7
2803,12
2804,9
2805,14
2806,12
2807,9
2808,8
2809,13
2810,15
2811,11
2812,6
2813,15
2814,11
2815,12
2816,9
2817,12
2818,8
2819,14
2820,11
2821,14
2822,17
2823,13
2824,9
2825,7
2826,15
2827,12
2828,13
2829,15
2830,10
2831,6
2832,6
2833,11
2834,11
2835,10
2836,11
2837,11
2838,16
2839,9
2840,17
2841,12
2842,7
2843,15
2844,12
2845,18
2846,10
2847,7
2848,12
2849,11
2850,7
2851,15
2852,15
2853,7
2854,12
2855,11
2856,14
2857,10
2858,12
2859,12
2860,15
2861,11
2862,13
2863,12
2864,9
2865,3
2866,12
2867,14
2868,20
2869,8
2870,10
2871,7
2872,7
2873,7
2874,15
2875,5
2876,10
2877,8
2878,11
2879,15
2880,12
2881,17
